,Global location X,Global location Y,,,,
,5560,5549,,,,
,6487,5549,,,,
,7414,5549,,,,
,8341,5549,,,,
,9268,5549,,,,
,10195,5549,,,,
,11122,5549,,,,
,12049,5549,,,,
,12976,5549,,,,
,13903,5549,,,,
,5560,6474,,,,
,6487,6474,,,,
,7414,6474,,,,
,8341,6474,,,,
,9268,6474,,,,
,10195,6474,,,,
,11122,6474,,,,
,12049,6474,,,,
,12976,6474,,,,
,13903,6474,,,,
,5560,7399,,,,
,6487,7399,,,,
,7414,7399,,,,
,8341,7399,,,,
,9268,7399,,,,
,10195,7399,,,,
,11122,7399,,,,
,12049,7399,,,,
,12976,7399,,,,
,13903,7399,,,,
,5560,8324,,,,
,6487,8324,,,,
,7414,8324,,,,
,8341,8324,,,,
,9268,8324,,,,
,10195,8324,,,,
,11122,8324,,,,
,12049,8324,,,,
,12976,8324,,,,
,13903,8324,,,,
,5560,9249,,,,
,6487,9249,,,,
,7414,9249,,,,
,8341,9249,,,,
,9268,9249,,,,
,10195,9249,,,,
,11122,9249,,,,
,12049,9249,,,,
,12976,9249,,,,
,13903,9249,,,,
,5560,10174,,,,
,6487,10174,,,,
,7414,10174,,,,
,8341,10174,,,,
,9268,10174,,,,
,10195,10174,,,,
,11122,10174,,,,
,12049,10174,,,,
,12976,10174,,,,
,13903,10174,,,,
,5560,11099,,,,
,6487,11099,,,,
,7414,11099,,,,
,8341,11099,,,,
,9268,11099,,,,
,10195,11099,,,,
,11122,11099,,,,
,12049,11099,,,,
,12976,11099,,,,
,13903,11099,,,,
,5560,12024,,,,
,6487,12024,,,,
,7414,12024,,,,
,8341,12024,,,,
,9268,12024,,,,
,10195,12024,,,,
,11122,12024,,,,
,12049,12024,,,,
,12976,12024,,,,
,13903,12024,,,,
,5560,12949,,,,
,6487,12949,,,,
,7414,12949,,,,
,8341,12949,,,,
,9268,12949,,,,
,10195,12949,,,,
,11122,12949,,,,
,12049,12949,,,,
,12976,12949,,,,
,13903,12949,,,,
,5560,13874,,,,
,6487,13874,,,,
,7414,13874,,,,
,8341,13874,,,,
,9268,13874,,,,
,10195,13874,,,,
,11122,13874,,,,
,12049,13874,,,,
,12976,13874,,,,
,13903,13874,,,,